n_gram,freq,freq3
was supposed,1691,1678
and will,7658,1677
wanted to,19946,1672
hope you,11425,1671
getting ready,3622,1670
if it,11388,1670
and we,19147,1668
he wants,3075,1668
to focus,2261,1666
give me,4802,1659
rt if,3243,1659
were going,2262,1659
it's not,17989,1655
the past,16325,1655
the process,5244,1653
and his,16769,1652
and one,6723,1652
were able,1667,1648
it might,4027,1646
and for,8613,1645
if there,3979,1645
i'm pretty,2554,1641
get rid,1650,1636
the federal,5435,1636
where are,2790,1635
that kind,1671,1632
known as,5330,1631
some sort,1844,1630
but this,6303,1629
in high,2109,1629
that has,9242,1627
and there,7473,1626
to become,5404,1626
let you,3169,1625
time in,7835,1625
the side,3415,1624
the world,33315,1623
the point,5753,1620
to know,15181,1620
the center,4235,1618
back on,5962,1617
version of,5378,1614
had no,5545,1613
are trying,1767,1612
some kind,1771,1608
the face,3568,1606
we don't,7908,1606
do the,8220,1604
but there,5556,1603
he wanted,2540,1603
in your,16740,1603
even though,9394,1602
is there,5636,1597
we are,38353,1597
would not,6775,1597
and he,16930,1592
he did,6339,1592
a ton,2035,1591
in los,1710,1591
for us,8463,1590
a time,8042,1589
the department,3162,1589
as good,2504,1588
it may,4352,1587
best way,1952,1585
is just,10125,1583
think about,7780,1582
you had,4811,1582
whether or,1605,1580
because it,8689,1576
may have,8168,1576
the need,3137,1576
two years,7046,1575
reminds me,2198,1574
is also,8456,1565
for at,2133,1564
what's going,1926,1563
be part,1598,1562
do not,16006,1559
i still,9624,1559
what i,23063,1558
i should,9181,1557
place in,4537,1557
at one,3682,1556
love to,12018,1555
so excited,5651,1554
you get,13253,1553
back of,3559,1552
be at,5278,1551
an opportunity,2443,1545
to one,4364,1545
what a,11902,1544
welcome to,5009,1539
be the,23027,1538
not want,2208,1537
are the,19740,1534
the one,13463,1532
is about,6406,1528
the course,2732,1528
they will,8540,1528
working on,9413,1528
is what,8829,1526
each of,4125,1525
hall of,2180,1523
there have,1925,1519
this will,3882,1519
we can,18588,1516
early in,2171,1515
it makes,4911,1509
who has,10055,1508
less than,8634,1503
the difference,3314,1503
you guys,11032,1503
not in,5421,1500
as i,21432,1499
in san,4158,1495
want you,2374,1494
i hate,12538,1493
time for,10809,1493
should have,8527,1491
what happened,4998,1489
here is,6786,1488
while i,5570,1486
a man,9764,1484
appears to,2383,1481
can i,7412,1481
in which,10168,1481
thanks to,10791,1480
president barack,1942,1479
not sure,8713,1477
that's what,7113,1473
out how,2635,1472
what you,17026,1472
those of,3476,1470
waiting for,7277,1470
because they,8048,1469
in an,16205,1469
close to,7370,1467
should not,3221,1466
are a,13463,1459
him in,4873,1458
so proud,2091,1458
of one,4016,1457
have you,10533,1456
but i'm,8496,1454
back into,3340,1448
a total,2842,1443
are on,4231,1442
it's a,27522,1438
take a,13876,1438
came up,2735,1437
a trip,2468,1436
i go,5097,1436
the life,2983,1436
great way,1586,1434
she was,19919,1434
if they,13103,1433
couple of,12247,1430
first day,2809,1430
can do,9708,1429
are looking,2886,1426
to catch,3709,1425
to those,4191,1425
do with,7465,1419
here are,4948,1419
the things,5363,1418
to build,5052,1418
told me,7509,1418
for them,6894,1417
the hunger,1536,1417
those who,12907,1415
my best,4011,1411
the los,1534,1410
time of,5801,1410
i woke,1523,1408
much for,4869,1407
look like,6793,1405
of a,79317,1405
awkward moment,1559,1402
will always,3142,1401
right now,24738,1399
on behalf,1410,1397
executive director,2356,1396
give it,3621,1395
we all,8224,1395
up and,16669,1393
gonna be,6186,1392
involved in,4321,1391
to live,7382,1391
a copy,2029,1390
the sound,2270,1390
i haven't,8033,1388
chance to,8793,1387
has not,4572,1387
it seems,6901,1386
now i,11722,1385
in favor,1483,1384
a very,16321,1381
friends and,5332,1381
excited to,6842,1380
who you,2732,1380
spread the,2066,1378
men and,2480,1375
last year,18638,1373
so if,3340,1373
but they,9428,1370
back and,7316,1367
know that,13545,1367
for him,6595,1365
make it,16552,1363
me know,6045,1361
here in,7109,1360
that in,6538,1359
i needed,3171,1358
learn how,1662,1356
give you,4526,1355
more likely,2049,1354
not so,4387,1354
of people,10692,1354
earlier this,3457,1353
but it's,10350,1352
she said,16801,1352
grew up,3260,1349
all kinds,1541,1345
meant to,3391,1345
the value,1759,1344
out for,8256,1343
when she,7381,1343
over to,4866,1341
to buy,8124,1341
might be,11498,1340
live in,7628,1338
the associated,1442,1338
to a,55963,1338
are so,8330,1337
he and,3640,1336
he will,6861,1336
we went,3259,1336
to worry,1899,1335
you do,12316,1334
up at,5672,1333
cinco de,1440,1331
only a,5780,1331
thought i,4505,1331
is all,5841,1330
i made,7367,1329
is like,5433,1329
of thousands,1589,1329
and on,5670,1327
was at,4363,1324
to start,12471,1322
are expected,1520,1319
what the,12791,1319
that she,10053,1318
this kind,1386,1317
it turns,1559,1316
looking at,6414,1316
take advantage,1433,1312
how to,20805,1311
i look,4638,1311
no idea,5086,1308
the form,1691,1308
why am,1318,1306
addition to,4389,1304
and at,4691,1304
family and,4586,1303
to everyone,3749,1301
and when,7037,1300
great to,4275,1299
the loss,2138,1298
and out,2443,1297
went on,3432,1297
the edge,2230,1296
the future,8284,1295
the type,1656,1292
last night,15697,1290
love you,17295,1290
i really,15486,1288
thing to,3763,1285
the quality,1742,1284
might have,5997,1280
expected to,7031,1279
said that,11228,1278
beginning of,3084,1277
even if,9299,1276
goal is,1832,1276
of you,14359,1276
oh my,3731,1276
to give,14720,1276
vice president,3164,1276
what did,2969,1274
of more,1999,1272
and i'm,10794,1270
that have,6016,1270
this year,22880,1269
me want,1427,1266
in response,1573,1265
all is,2489,1264
such a,17604,1262
an effort,1545,1261
deal with,5986,1260
and try,2201,1258
turned out,3292,1258
with a,81892,1258
the man,7365,1255
and lots,1414,1254
i live,3030,1254
may be,14117,1254
chairman of,1666,1253
were in,4509,1253
to stay,7748,1249
a hard,2936,1247
i felt,6062,1245
it does,5070,1245
few years,4444,1243
figure out,4832,1243
of their,18755,1241
will you,3842,1241
come back,5481,1239
off to,7849,1239
to return,2744,1239
next to,6444,1238
why is,4387,1236
keep up,3023,1235
a spokesman,1456,1234
you should,10758,1234
the case,9019,1233
there would,1611,1232
to change,6706,1230
have the,19458,1229
you would,6608,1228
between the,8189,1227
return to,4106,1227
the price,3415,1225
the role,1925,1225
could not,5639,1224
talking about,9794,1224
the whole,12288,1222
was just,9239,1222
to write,7247,1219
going on,9485,1218
been in,4985,1217
to each,2382,1217
hit me,2328,1216
none of,4328,1215
all i,8290,1213
i knew,7804,1211
so that,9882,1211
soon as,4292,1210
just need,2025,1207
is supposed,1211,1206
makes me,7710,1204
so many,13805,1204
might as,1217,1203
is so,13548,1202
the hands,1414,1201
don't need,3383,1199
because i,15023,1198
work in,4793,1198
the possibility,1848,1196
with the,105993,1196
it but,7209,1195
seemed to,4086,1195
going back,1981,1194
why are,2982,1194
better than,9600,1193
left in,2316,1193
is no,12165,1192
in need,1829,1191
start of,2658,1191
about percent,2035,1190
we do,7610,1190
and had,6024,1189
all sorts,1264,1187
i'll have,2560,1187
you like,8575,1187
focus on,5437,1186
find a,7451,1185
listening to,8627,1185
to leave,6689,1184
she is,12856,1183
wants to,10683,1183
can see,6712,1182
the day,22621,1182
if you're,10875,1181
try to,15505,1181
who want,1691,1181
think it,6189,1180
has always,2022,1179
day in,5372,1178
i see,9900,1176
in honor,1193,1173
why do,4816,1171
there's a,9912,1170
in and,15086,1169
in such,2166,1167
might not,3193,1166
likely to,5390,1165
the result,2796,1163
really need,2082,1161
the midst,1182,1161
was born,3932,1159
it feels,3028,1158
to play,13902,1158
tell you,8224,1157
it's all,4567,1156
just trying,1196,1155
not the,14299,1155
a whole,6413,1154
the supreme,1487,1154
you go,5245,1154
a lack,1174,1153
it's just,6213,1153
talk to,7465,1152
but at,3326,1151
get ready,2426,1151
me when,2871,1150
to you,17334,1149
when they,12406,1148
must have,4169,1147
you think,12705,1147
he's going,1315,1146
last time,3963,1146
stay tuned,3291,1146
the problem,5563,1146
was not,13112,1146
but you,8518,1144
you at,4016,1144
the super,1760,1141
a kind,1635,1140
don't think,9478,1140
to put,10732,1140
to share,7836,1140
fact that,9890,1139
as many,4152,1137
head of,2753,1136
later in,1840,1135
you look,4017,1134
the house,13420,1133
for most,2335,1132
this time,10681,1132
it and,15253,1131
as opposed,1135,1129
these are,5298,1125
in on,4000,1124
not a,19779,1123
trip to,4580,1123
got to,11076,1122
kind of,24259,1122
said of,2860,1122
an attempt,1290,1121
sides of,1590,1121
a beautiful,5210,1119
to new,3414,1119
of them,18903,1118
that could,5154,1118
to hear,12485,1118
the fourth,3870,1117
to believe,3759,1117
don't even,3733,1116
that if,5812,1116
have time,1929,1113
talk about,8664,1113
name of,3245,1112
i took,5016,1111
last day,2506,1111
on their,9794,1111
who have,8310,1111
that awkward,1209,1110
i'm about,1318,1109
made it,7477,1109
day to,6362,1108
been trying,1369,1107
follow me,12572,1107
it must,1981,1106
out there,11823,1104
i saw,9376,1103
it turned,1321,1103
say that,9484,1101
think of,8814,1101
so it,5984,1099
is gonna,2170,1098
the board,5320,1098
did not,17372,1097
to help,18071,1097
i told,4985,1096
since i,6311,1096
we love,4600,1096
other side,2258,1095
want me,1498,1095
he would,8557,1093
but when,5421,1092
not at,2185,1091
game of,3275,1089
is why,3917,1089
to join,4157,1089
of new,6082,1088
to follow,7439,1088
each other,10277,1086
declined to,2744,1085
set up,5282,1085
years ago,13769,1085
came to,6732,1083
is full,1371,1081
me if,3511,1079
is more,6256,1078
the key,3091,1077
will never,4900,1077
it's one,1582,1076
and no,5902,1075
to participate,1737,1075
has become,3580,1072
good to,6532,1071
instead of,12350,1071
said she,6549,1071
of those,15551,1070
at that,5186,1069
i won't,4412,1069
not have,8097,1069
there has,1696,1069
a place,5244,1068
who will,4609,1068
you've got,3033,1066
st louis,9671,1065
will also,3309,1065
i grew,1238,1064
is based,1579,1063
and as,6403,1062
no need,1621,1062
a really,4493,1061
the help,1947,1061
who i,2774,1061
that's why,4388,1060
the lives,1237,1060
but he,11636,1059
it doesn't,7211,1059
moment when,2943,1056
and now,8846,1055
are some,4739,1055
it for,8156,1055
one or,2119,1055
would you,6316,1055
have had,5768,1053
have not,5014,1053
in charge,1663,1052
cant wait,2638,1051
for following,5163,1051
in case,3443,1051
the front,5350,1051
is scheduled,1667,1050
play in,2710,1050
just going,1312,1049
contributed to,1805,1048
is at,4468,1047
with one,4069,1044
the regular,1821,1043
to wake,1346,1043
me to,22167,1042
of your,17105,1042
there were,10263,1041
and get,9024,1040
is better,2482,1038
one in,4539,1038
earlier in,1320,1036
hope all,1507,1034
i ended,1116,1034
spokesman for,1768,1034
with each,2183,1034
i believe,6478,1033
a cup,1426,1032
black and,2183,1032
now that,6508,1032
the person,4498,1032
how many,8521,1031
i may,4431,1031
and some,7542,1028
what they,9417,1028
it with,6975,1026
miss you,6144,1025
the risk,1650,1025
listen to,7240,1024
and has,7273,1023
than a,11112,1022
in for,4856,1021
to set,3154,1021
with some,7160,1021
here we,2797,1020
when we,11504,1020
and thank,1345,1018
this has,2597,1018
they do,5809,1017
they're going,1188,1016
the work,4978,1015
be used,3669,1014
is likely,1422,1014
the list,4044,1014
said i,10095,1013
the head,3664,1013
today is,5641,1013
a pretty,4448,1012
didn't have,5253,1011
make a,15817,1010
gave me,3401,1009
in his,23106,1009
we decided,1449,1007
a friend,6305,1005
as they,10226,1005
in time,3790,1004
millions of,2995,1004
my life,14950,1004
that no,2736,1004
no one,13661,1002
quite a,4279,1002
in less,1183,1001
the spirit,2045,1001
the subject,2541,1001
view of,2215,1001
than any,2081,1000
they don't,7401,1000
having a,10797,999
to hang,2165,999
a bottle,1639,996
for years,8165,995
i find,5076,995
portion of,2079,995
she has,7818,995
they can,9285,995
this week,18788,994
years in,3842,994
point of,3961,993
role in,2952,992
on in,3662,991
come out,5421,990
few weeks,4064,988
thx for,2003,988
go out,4524,987
the parking,1393,986
you on,4720,986
the night,8155,985
will need,1774,984
you may,6224,984
you never,3101,984
the son,1418,982
from a_m,1098,981
me on,5313,981
use of,5997,981
something to,5014,980
as for,2904,978
in fact,9326,977
it had,4975,977
salt and,1898,976
all about,5635,975
so hard,3033,975
to continue,3621,975
we wanted,1500,974
in exchange,1086,973
nice to,5226,973
how did,3211,972
me that,7882,972
them to,12994,972
work on,5725,972
sorry for,2614,971
was such,1153,970
the good,6756,969
get in,4679,967
i'm so,7545,967
just had,3146,967
you follow,2027,967
to hit,3051,966
where you,6163,965
happy to,6042,963
of what,10441,963
to ensure,2680,963
the art,2491,962
late in,1362,960
or is,2413,960
and it's,10040,959
the obama,1739,957
this one,9002,957
he told,3041,956
is my,10950,956
familiar with,1982,955
is still,9534,954
just got,8241,954
that had,4001,954
the game,16483,953
appear to,1664,952
history of,3705,952
of his,27645,952
and trying,1129,950
i might,5631,950
i'm looking,2137,949
the presence,1001,948
this morning,12005,948
down the,11846,947
said they,6411,947
on one,3747,946
this would,2150,946
to show,7417,946
and so,8806,945
a glass,1652,944
and thanks,1773,943
in their,15330,943
living in,4130,943
once in,1809,943
does not,11888,942
during the,18480,942
high school,13988,942
night at,2932,940
it or,2988,939
a combination,1092,938
i'm in,5167,938
glad to,4100,937
aware of,3092,936
just in,2968,936
what would,3606,936
good luck,7243,935
with me,11421,935
only way,2054,934
was part,972,932
the nature,1210,931
want it,2383,931
are able,976,930
but then,4844,930
the level,1262,930
control of,2213,929
how can,3906,929
the shout,1125,929
seems like,3708,927
think this,2456,927
it takes,4768,926
to end,3742,926
state of,4581,925
outside of,3026,924
fall in,1522,923
gov chris,1164,923
to read,8016,923
can get,8425,922
the love,3403,921
a big,16153,920
down on,3149,920
it's easy,1224,920
center of,2161,917
depending on,2671,917
for so,1637,917
attention to,3371,916
is it,14999,916
an average,1650,915
my husband,4594,914
like a,32508,913
fell in,1243,912
have yet,997,909
appeared to,1721,908
be allowed,1197,908
congrats on,2432,908
in real,1467,908
is your,5751,908
out at,3434,908
the living,1670,907
the truth,5683,907
can make,5277,906
if we,10200,906
time i,12445,906
two or,1251,906
who had,6481,905
is having,1807,904
they had,8026,904
in some,6602,903
what we,9375,903
when are,1343,902
best of,3925,900
will try,1508,900
the purpose,1118,899
for one,5115,898
the third,6835,898
they would,6258,897
where he,5634,897
can't help,1760,894
get a,21074,894
im going,1201,894
day at,3246,893
i found,7995,893
it if,2669,893
to support,4275,893
because he,5878,892
needless to,898,891
and how,8314,890
and her,8359,889
in touch,2064,889
majority of,3323,889
pick up,5098,889
give us,2067,888
is hard,1811,888
and to,12681,887
like i,8430,886
of some,3690,886
about it,15519,884
more about,4197,884
you'd like,1437,884
first of,2471,882
proud of,4965,881
we live,1673,881
much more,7398,879
sign up,2216,879
and see,5415,878
out with,6277,878
you if,1687,878
me but,3887,877
of being,6223,877
in to,7031,875
join us,3764,875
us in,3306,875
be back,4080,874
was about,3172,874
you see,7551,874
we get,5265,873
but that,7878,872
it's gonna,1144,872
the more,8162,872
what's your,2427,872
in more,1921,870
on both,1965,870
down in,3065,868
of it,17282,868
that's a,7175,868
do i,9146,867
followed by,3543,867
went back,1469,867
i said,7789,866
on a,53521,866
think i,10557,866
i've got,3767,865
put it,4504,865
a set,1417,864
hang out,2484,864
i wanna,5357,864
needed to,6234,864
and most,3540,863
has yet,942,862
in any,4672,862
it took,3985,862
little more,3529,861
a new,33458,860
been a,14626,860
it when,4171,860
they should,3513,860
check us,887,859
yes i,6271,859
for many,2999,858
he needs,1561,857
and ready,1401,856
in all,7093,856
the thought,1480,855
like it,9316,854
so they,4351,854
things to,3885,854
what happens,3289,854
which has,4462,854
still have,4574,853
take on,2734,853
the corner,3079,852
for an,11122,851
his or,884,851
returned to,2566,851
for your,13204,849
added to,1869,847
the part,1754,846
access to,4427,845
each and,1204,845
hard to,11619,845
i'll be,10020,845
the ones,3996,845
who is,14544,845
get into,2884,844
is important,2344,844
learn more,1413,844
and not,12105,842
but for,4312,842
still in,3311,842
the cause,1486,840
a link,1721,839
in our,14105,838
might want,924,837
do it,16398,836
for it,9425,836
my name,2791,836
it out,10864,835
don't get,5321,834
a mix,1009,833
and is,11764,832
i've never,3815,832
much better,3902,832
who lives,1457,832
coming to,5258,831
more like,3148,831
it's kind,837,830
team in,2045,830
to learn,7111,830
was charged,1251,830
a sort,856,829
she had,6890,829
are having,1703,828
number of,13213,827
again and,3440,826
and those,2934,826
i tend,868,825
we were,17751,825
can tell,2704,824
friend of,1851,823
rather than,8765,823
found in,2830,822
got out,1390,822
not be,12941,822
about an,1965,821
is looking,2387,821
and make,6045,820
and she,8817,820
here and,5626,820
taking care,865,820
and more,10680,819
are supposed,820,818
excited about,3598,818
has never,2320,818
if this,2995,818
doesn't want,1301,816
him to,10844,816
me so,3501,816
sitting in,2663,816
open to,2895,814
share with,1879,814
and with,4865,813
from time,871,813
which will,3086,813
with lots,859,813
are willing,848,812
copy of,2513,812
headed to,2812,812
it really,4162,812
last week,12556,812
have so,1847,811
see if,4881,811
she and,1891,811
more or,989,810
the beauty,1316,810
and by,3004,809
how i,7060,809
it up,9663,809
tell me,8048,809
few of,2396,808
in with,3971,808
led to,3216,808
nothing more,1479,808
i started,5589,807
now and,5565,807
the smell,1156,806
i realized,2516,805
with more,2755,805
said this,2553,804
so happy,3764,804
i kind,808,803
that one,6798,803
the bay,1790,803
a guy,4270,802
love it,9325,802
player of,903,801
something like,2693,801
to protect,3710,801
coming out,3042,800
of st,1936,800
section of,1710,800
the issue,3907,800
knows how,1292,799
are part,819,798
i've ever,2890,798
the concept,1483,798
both sides,2108,797
never heard,1439,797
related to,2944,797
will take,4654,797
you to,16737,797
i forgot,2543,796
she wanted,1335,796
in spite,807,795
that makes,4552,795
been on,3519,794
edge of,1813,794
on and,5410,794
go ahead,1407,793
the likes,839,793
come in,4358,792
keep it,4053,792
still trying,825,792
united states,7841,792
be interested,1150,791
it at,3706,791
the release,1366,791
yes it,1878,791
where do,1569,790
an example,1550,789
in search,878,789
an interview,2716,788
we should,5877,788
always wanted,1071,787
to stop,8072,787
just found,1498,786
been working,2052,785
hanging out,1915,785
pay for,4859,785
the road,7496,785
about to,10876,784
one thing,5535,784
to this,11356,784
sorry to,1673,783
even in,2356,782
keep an,953,782
just saw,3763,781
for people,3160,780
for yards,1547,780
get used,840,780
two weeks,4401,780
compared to,3201,779
keep in,1541,779
click on,1555,778
comment on,2411,778
has a,22761,778
they did,3859,778
only one,7186,777
big fan,1161,776
so this,2562,776
in las,800,775
tonight at,4087,775
